################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1        203   0.0000000000000000E+00   3.9766079821157523E+00   1.1518160777461321E-01   2.3927829287468816E-01
         1        204   7.8693490875039339E-04   1.9618334046160346E+01   7.5517604703516348E+00   3.4564446432495495E+00
         1        205   0.0000000000000000E+00   2.8832150050169730E+01   1.2706953605709645E+00   2.3754267222715040E+00
         1        206   0.0000000000000000E+00   2.8832150050169730E+01   1.2706953605709645E+00   2.3754267222715040E+00
         1        207   1.2960237791298117E-09   1.0889886340045651E+00   2.4875903718922157E-01   1.3550622634387346E-01
         1        208   0.0000000000000000E+00   1.8286411758391177E+00   4.1304268638084889E-02   9.2580057043309280E-02
         1        209   0.0000000000000000E+00   1.8286411758391177E+00   4.1304268638084889E-02   9.2580057043309280E-02
         1        210   5.0452277869110788E-04   1.1060623685119824E+01   4.0852227403170174E+00   1.8958078475616371E+00
         1        211   0.0000000000000000E+00   1.7515808287914883E+01   7.1501591464353886E-01   1.3615659728097478E+00
         1        212   0.0000000000000000E+00   1.7515808287914883E+01   7.1501591464353886E-01   1.3615659728097478E+00
         1        213   2.2314615374701191E-18   4.6487812916063120E-01   7.2949724777703132E-02   5.3443361967969318E-02
         1        214   0.0000000000000000E+00   1.0051075308082333E+00   1.0594498690959776E-02   2.8813353235075570E-02
         1        215   0.0000000000000000E+00   1.0051075308082333E+00   1.0594498690959776E-02   2.8813353235075570E-02
         1        216   2.8687195931604588E-05   2.9017804688784659E+00   9.5071577060335932E-01   4.6787190325440375E-01
         1        217   0.0000000000000000E+00   5.8971042397160360E+00   1.8243834177302376E-01   3.7513330262041056E-01
         1        218   0.0000000000000000E+00   5.8971042397160360E+00   1.8243834177302376E-01   3.7513330262041056E-01
         2          1   0.0000000000000000E+00   5.5093618325725782E+00   1.1259247912916110E+00   1.3042245689885510E+00
         2          2   0.0000000000000000E+00   1.4913101593735243E+01   4.5303954741139192E+00   2.7061852423886221E+00
         2          3   0.0000000000000000E+00   4.7608980009770061E+00   9.6037284797277511E-01   1.1178765959549786E+00
         2          4   0.0000000000000000E+00   1.2954484619694702E+01   3.8676145047240147E+00   2.3508745346155333E+00
         2          5   0.0000000000000000E+00   3.8406534417516962E+00   7.5747376937328281E-01   8.8842692587943961E-01
         2          6   0.0000000000000000E+00   1.0553438715346545E+01   3.0626446647353771E+00   1.9153019596244818E+00
         2          7   0.0000000000000000E+00   3.0818836644063614E+00   5.3382888902649928E-01   6.3357402005281804E-01
         2          8   0.0000000000000000E+00   7.8981160789624623E+00   2.1847056664984734E+00   1.4317117122460763E+00
         2          9   0.0000000000000000E+00   2.2383657068048093E+00   3.2051994833629199E-01   3.8751705294123040E-01
         2         10   0.0000000000000000E+00   5.3578189297077561E+00   1.3529754220245354E+00   9.5708557115138426E-01
         2         11   0.0000000000000000E+00   1.3995535804673924E+00   1.5306176439547753E-01   1.9072504624096864E-01
         2         12   0.0000000000000000E+00   3.2015608859823672E+00   6.9197032970045258E-01   5.5236601475202030E-01
         2         13   0.0000000000000000E+00   1.7919442642943148E-01   4.7411701818605833E-03   8.6479914188119632E-03
         2         14   0.0000000000000000E+00   5.4703092119862895E-01   4.1419587343885664E-02   6.5395581154634189E-02
         2         15   0.0000000000000000E+00   7.8631148633378312E-01   3.0413644631871555E-02   4.8016079043378977E-02
         2         16   0.0000000000000000E+00   2.0145695221566462E+00   2.1660087261707850E-01   2.8390675424323231E-01
         2         17   0.0000000000000000E+00   2.2345017324331913E+00   1.3105634715378367E-01   1.8472946790272712E-01
         2         18   0.0000000000000000E+00   5.0350714469445075E+00   7.6348452849950710E-01   8.1245778066871654E-01
         2         19   0.0000000000000000E+00   4.1175337672467931E+00   3.8175882379327652E-01   4.9723526242844163E-01
         2         20   0.0000000000000000E+00   8.5134571331012605E+00   1.8360204971837502E+00   1.5539202049519130E+00
         2         21   0.0000000000000000E+00   4.9662737953761695E+00   7.6108539103097272E-01   9.4374517615879572E-01
         2         22   0.0000000000000000E+00   1.0934078430240097E+01   3.0857777889211708E+00   2.0640952911555894E+00
         2         23   0.0000000000000000E+00   5.8423241981738334E+00   1.0611491094314558E+00   1.2769935589646371E+00
         2         24   0.0000000000000000E+00   1.1099879692112546E+01   3.7968633344360856E+00   2.0864315647719516E+00
         2         25   0.0000000000000000E+00   5.6676868891627548E+00   1.0790513346604786E+00   1.2687508803007037E+00
         2         26   0.0000000000000000E+00   1.0312487088233974E+01   3.7189995289670232E+00   1.8506221275504802E+00
         2         27   0.0000000000000000E+00   4.6633769289877476E+00   8.6301456372108809E-01   9.9117786725919976E-01
         2         28   0.0000000000000000E+00   9.7228787453644330E+00   3.2217338622961629E+00   1.6161277463460553E+00
