################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9304296493949039E-01 a       442     0    37     1    10
 -1.7227985512214580E-01 a       443     0    37     1    11
 -3.8236588966219912E-02 a       444     0    37     1    12
 -2.6500164851418739E-01 a       445     0    38     1     1
  2.7988544641519680E-01 a       446     0    38     1     2
  4.7778422619687588E-01 a       447     0    38     1     3
 -9.7009511252632907E-01 a       448     0    38     1     4
 -4.4982252121596250E-01 a       449     0    38     1     5
  4.5926305305349857E-01 a       450     0    38     1     6
  3.3445119953980940E-01 a       451     0    38     1     7
 -6.6070254757885927E-01 a       452     0    38     1     8
  4.7294027724183962E-01 a       453     0    38     1     9
  1.0271922061337637E+00 a       454     0    38     1    10
 -7.1906395685115809E-01 a       455     0    38     1    11
  1.1621732793361830E-01 a       456     0    38     1    12
  9.1082138235262594E-02 a       457     0    39     1     1
  2.6438353910896918E-02 a       458     0    39     1     2
  7.7618971697608297E-01 a       459     0    39     1     3
  1.6921499833047693E-01 a       460     0    39     1     4
 -4.3583851624172937E-01 a       461     0    39     1     5
  9.4137429200314607E-02 a       462     0    39     1     6
 -1.1817086772945422E-01 a       463     0    39     1     7
  1.3482544422952153E-01 a       464     0    39     1     8
  1.3918738358960564E-01 a       465     0    39     1     9
  1.6914789440519107E-02 a       466     0    39     1    10
 -1.4210233811763315E-01 a       467     0    39     1    11
  3.0052102792489481E-02 a       468     0    39     1    12
 -1.9513398085995484E-01 a       469     0    40     1     1
  4.7770725733015273E-01 a       470     0    40     1     2
  4.1359852683935561E-01 a       471     0    40     1     3
 -9.8688065305650807E-01 a       472     0    40     1     4
 -3.7716406008622139E-01 a       473     0    40     1     5
  1.1803089894882821E-01 a       474     0    40     1     6
  2.8530789264524109E-01 a       475     0    40     1     7
 -4.8862799444017752E-01 a       476     0    40     1     8
  5.2417728180404000E-01 a       477     0    40     1     9
  8.5546671796683027E-01 a       478     0    40     1    10
 -3.4877812133650393E-01 a       479     0    40     1    11
  6.5601618978383097E-02 a       480     0    40     1    12
  2.3398972461898976E-01 a       481     0    41     1     1
 -5.3725194897827719E-02 a       482     0    41     1     2
  6.3182567398436773E-01 a       483     0    41     1     3
  1.2533515321477925E-01 a       484     0    41     1     4
 -1.2143284557208009E-01 a       485     0    41     1     5
 -1.4730410564299146E-01 a       486     0    41     1     6
 -9.1301836016938032E-02 a       487     0    41     1     7
  6.2598781505269985E-02 a       488     0    41     1     8
  5.6295523786781937E-04 a       489     0    41     1     9
  2.7759420414445304E-02 a       490     0    41     1    10
 -1.3944846438812195E-01 a       491     0    41     1    11
 -4.9495153723648398E-02 a       492     0    41     1    12
 -1.9758810230414300E-01 a       493     0    42     1     1
  2.3755524411406598E-01 a       494     0    42     1     2
  3.3709719971957186E-01 a       495     0    42     1     3
 -3.9568392535784014E-01 a       496     0    42     1     4
 -3.8760745068813685E-01 a       497     0    42     1     5
 -3.0979600707190406E-02 a       498     0    42     1     6
  2.9456723485966052E-01 a       499     0    42     1     7
 -4.8369498829422947E-01 a       500     0    42     1     8
  2.5879509561864050E-01 a       501     0    42     1     9
  3.1011374952220649E-01 a       502     0    42     1    10
 -3.4214698387209003E-01 a       503     0    42     1    11
 -1.0513325610858526E-01 a       504     0    42     1    12
 -6.3039211337243883E-02 a       505     0    43     1     1
  1.2371721460128424E-01 a       506     0    43     1     2
  8.4829299116073842E-01 a       507     0    43     1     3
  1.5520207493592425E-01 a       508     0    43     1     4
 -2.0828026558977569E-01 a       509     0    43     1     5
 -2.6935215272767803E-03 a       510     0    43     1     6
 -1.7374097846534137E-01 a       511     0    43     1     7
  4.2214100223637120E-02 a       512     0    43     1     8
